제목,연도,나라,유형,장르,감독
영춘백학권,2015,중국,장편,액션,양가인
프리즈너,2020,한국,장편,액션,양길영
건달티처,2019,한국,장편,액션,어일선
깡치,2016,한국,장편,액션,연정모
엽문-특별판,2019,홍콩,장편,액션,엽위신
메리 좀 찾아줘,2020,한국,장편,액션,오우람
야쿠자의 신세계,2015,일본,장편,액션,오츠키 에이지
바람의 사무라이,2021,일본,장편,액션,오치아이 켄
사무라이헌터,2015,일본,장편,액션,오치아이 켄
브레이브 스톰,2017,일본,장편,액션,오카베 준야
음양사 : 엽요집,2021,중국,장편,액션,왕카이
매드 하이디,2022,스위스,장편,액션,요하네스 하트만 산드로 클로프스타인
독고,2017,한국,장편,액션,우선호
스리아시-사랑의 여신,2022,인도네시아,장편,액션,우피 아비안토
루키스,2019,중국,장편,액션,원금린
엽문 외전,2017,중국,장편,액션,원화평
리벤지: 엄마의 분노,2017,미국,장편,액션,웨스 밀러
신강시선생,2018,홍콩,장편,액션,유관위
바이킹: 블러드 워,2019,미국,장편,액션,유리 L. 슈바르츠
보디가드: 도시정벌,2016,중국,장편,액션,유송
무적의 청룡언월도,2016,중국,장편,액션,유신의
리볼버 릴리,2023,일본,장편,액션,유키사다 이사오
울프 특공대,2019,중국,장편,액션,윤신양
무저갱,2023,한국,장편,액션,윤여창
조선주먹,2020,한국,장편,액션,윤여창
창천 : 전장의 서막,2021,중국,장편,액션,이력지
리얼,2016,한국,장편,액션,이사랑
바람개비,2023,한국,장편,액션,이상훈
리벤져,2018,한국,장편,액션,이승원
고닌 사가: 5인의 복수,2015,일본,장편,액션,이시이 다카시
자이언트 스파이더,2021,중국,장편,액션,이아동
사냥,2016,한국,장편,액션,이우철
엽문의 시작,2020,중국,장편,액션,이입명
퇴마록,2019,중국,장편,액션,이입명
엽문 리부트 2020,2019,중국,장편,액션,이입명
탈주,2024,한국,장편,액션,이종필
이무회우,2017,한국,장편,액션,이진아
언니,2018,한국,장편,액션,임경택
거룩한 밤: 데몬 헌터스,2021,한국,장편,액션,임대희
인크레더블 손오공,2018,중국,장편,액션,임자총
메가 스네이크2,2019,중국,장편,액션,임진소
손오공6: 화염산 전투,2019,중국,장편,액션,임진소
메가 스네이크,2018,중국,장편,액션,임진소
황비홍-천하지남북영웅,2018,중국,장편,액션,임진소
벤데타: 복수의 시간,2022,캐나다,장편,액션,자레드 콘
데스 레이스 2022,2021,미국,장편,액션,자레드 콘
킹 아더: 원탁의 기사,2017,미국,장편,액션,자레드 콘
어벤져스 오브 저스티스,2018,미국,장편,액션,자렛 타놀
파랑,2023,프랑스,장편,액션,자비에 장
쌍칼,2019,한국,장편,액션,장대운
운봉,2020,한국,장편,액션,장동현
풍운파,2019,중국,장편,액션,장뢰
탈혼이진도: 자객의 기억,2019,중국,장편,액션,장뢰
도술혈전,2019,중국,장편,액션,장뢰
혈투 : 황위쟁탈전,2018,중국,장편,액션,장뢰
풍운제일도,2017,중국,장편,액션,장뢰
건양강호: 운뢰검법의 비밀,2017,중국,장편,액션,장뢰
무림시대: 4대 고수전,2016,중국,장편,액션,장뢰
검은비: 악의연대기,2017,한국,장편,액션,장유근
도화선 2,2020,중국,장편,액션,장자
협객무명,2020,중국,장편,액션,장적재
강호불패,2019,중국,장편,액션,장제
동방영웅전,2019,중국,장편,액션,장제
황비홍 - 사혼각성,2019,중국,장편,액션,장철
쿵푸 트래블러 : 북퇴,2017,중국,장편,액션,장험봉
쿵푸 트래블러 : 남권,2017,중국,장편,액션,장험봉
킬러의 레스토랑,2022,미국,장편,액션,잭 골든
더 커리어,2019,영국,장편,액션,잭커리 애들러
파이널 킬,2020,미국,장편,액션,저스틴 리
분노의 질주: 더 얼티메이트,2021,미국,장편,액션,저스틴 린
패왕화 스페셜 포스,2016,홍콩,장편,액션,전국위
구룡성채: 무법지대,2024,홍콩,장편,액션,정 바오루이
악녀,2017,한국,장편,액션,정병길
더 가디언,2024,한국,장편,액션,정장환
뎁트 콜렉터 2,2020,미국,장편,액션,제시 V. 존슨
건즈 아킴보,2020,영국,장편,액션,제이슨 레이 하우덴
파이널 임팩트,2015,캐나다,장편,액션,제이슨 부케
블러드 서커스,2017,미국,장편,액션,제이콥 쿠니
쥬만지: 넥스트 레벨,2019,미국,장편,액션,제이크 캐스단
가디언즈 오브 갤럭시: Volume 3,2023,미국,장편,액션,제임스 건
갱 브라더스: 마지막 대결,2018,미국,장편,액션,제임스 마크
피라냐 어택,2020,캐나다,장편,액션,제임스 쿨렌 브레삭
불릿 프루프,2022,캐나다,장편,액션,제임스 클레이튼
400: 제국의 부활,2018,태국,장편,액션,젯니풋 사슁
메이헴,2017,미국,장편,액션,조 린치
리스타트,2019,미국,장편,액션,조 카나한
브레이크다운,2016,영국,장편,액션,조니 말라치
무협: 더 코드,2019,미국,장편,액션,조니 우
반격,2021,중국,장편,액션,조문탁
불어라 검풍아,2021,한국,장편,액션,조바른
갱,2019,한국,장편,액션,조바른
탑건: 매버릭,2021,미국,장편,액션,조셉 코신스키
포트리스2 : 스나이퍼 아이,2022,미국,장편,액션,조쉬 스턴펠드
퓨리오사: 매드맥스 사가,2024,미국,장편,액션,조지 밀러
파이어 트위스터,2015,미국,장편,액션,조지 에쉬버머
드라이브 인 타이페이,2024,프랑스,장편,액션,조지 황
라이엇,2015,미국,장편,액션,존 라이드
킬러 인 리커버리,2018,미국,장편,액션,존 리앙
저스티스 배틀,2017,미국,장편,액션,존 소올스
판더믹,2015,미국,장편,액션,존 슈이츠
이스케이프 플랜: 코드네임 제로,2016,미국,장편,액션,존 스톡웰
킥복서 리턴즈,2016,미국,장편,액션,존 스톡웰
카운트다운,2016,미국,장편,액션,존 스톡웰
이스케이프 플랜 3,2019,중국,장편,액션,존 허즈펠드
쓰나미,2021,중국,장편,액션,주구흠
화여장: 꽃들의 전쟁,2019,중국,장편,액션,주구흠
와호강호,2017,중국,장편,액션,주청
넉아웃,2019,중국,장편,액션,주현량
택시: 나이트페어,2015,프랑스,장편,액션,줄리앙 세리
삼총사: 마지막 미션,2018,이탈리아,장편,액션,지오반니 베로네시
더 트래커,2019,미국,장편,액션,지오지오 세라피니
홍희관 - 쿵푸마스터,2021,중국,장편,액션,진목승
견자단의 홍희관,2021,중국,장편,액션,진목승
탐정 당인: 차이나타운 살인사건,2015,중국,장편,액션,진사성
황제의 검신,2018,중국,장편,액션,진진
전설의 라이타,2019,한국,장편,액션,채기준
존 윅 4,2023,미국,장편,액션,채드 스타헬스키
샤크 : 더 비기닝,2021,한국,장편,액션,채여준
몬스터 헌터 - 귀멸의 검,2019,중국,장편,액션,천회부
용루각: 비정도시,2020,한국,장편,액션,최상훈
액션동자,2022,한국,장편,액션,최영민
더 킬러: 죽어도 되는 아이,2022,한국,장편,액션,최재훈
검객,2020,한국,장편,액션,최재훈
스나이퍼: 암살자의 최후,2020,미국,장편,액션,카리 앤드류스
복수는 사야라처럼,2024,터키,장편,액션,칸 에브레놀
벡키,2020,미국,장편,액션,캐리 멀니온 조나단 밀롯
007 노 타임 투 다이,2021,미국,장편,액션,캐리 후쿠나가
아메리칸 히트맨,2021,캐나다,장편,액션,커크 코우테
건 파이터,2015,콜롬비아,장편,액션,켄 산젤
겟썸 4,2021,미국,장편,액션,켈리 메디슨
사악한 쾌락 : 킬러들의 험담,2020,캐나다,장편,액션,코디 칼라한
도쿄 좀비 아이돌,2017,일본,장편,액션,쿠마가이 유키
하이앤로우 더 무비,2016,일본,장편,액션,쿠보 시게아키
시티 워: 익스트림 킬러,2016,미국,장편,액션,크리스찬 세스마
어썰트 33,2021,미국,장편,액션,크리스토퍼 레이
워 히어로: 솔져 오브 갓,2019,미국,장편,액션,크리스토퍼 포브스
300: 전사의 귀환,2020,미국,장편,액션,크리스토퍼 포브스
미션 이스탄불,2016,독일,장편,액션,크리스티앙 알바트
컨트랙트 투 킬,2016,루마니아,장편,액션,키오니 왁스먼
졸트,2021,미국,장편,액션,타니아 웩슬러
일급기밀,2015,몽고,장편,액션,타미르
극장판 파워레인저: 애니멀포스 VS 닌자포스 미래에서 온 메시지,2017,일본,장편,액션,타케모토 노보루
킬 존,2018,미국,장편,액션,토드 바투
나이트 라이즈,2016,미국,장편,액션,톰 게티
아웃포스트 369,2021,영국,장편,액션,톰 페이튼
허리케인,2018,호주,장편,액션,트래비스 베인
97분,2023,미국,장편,액션,티모 부오렌솔라
코드 카림,2020,이탈리아,장편,액션,페드리코 알로토
앤트맨과 와스프: 퀀텀매니아,2023,미국,장편,액션,페이튼 리드
크레이지 특공대,2017,미국,장편,액션,폴 자렛
협도연맹: 도둑들의 전쟁,2017,중국,장편,액션,풍덕륜
패스트 콘보이,2016,프랑스,장편,액션,프레더릭 스코엔도에퍼
혈랑: 붉은전사,2017,홍콩,장편,액션,프레드 완
섀도우 마스터,2022,미국,장편,액션,피어리 레저널드 테오
번 아웃,2021,미국,장편,액션,피어리 레저널드 테오
스코치드 어스: 분노의 추격자,2018,캐나다,장편,액션,피터 호윗
9인: 최후의 결사단,2018,중국,장편,액션,하명
9인: 혼돈의 시대,2018,중국,장편,액션,하명
태양은 움직이지 않는다,2021,일본,장편,액션,하스미 에이이치로
오버 드라이브,2018,일본,장편,액션,하스미 에이이치로
콜드 체이싱,2019,영국,장편,액션,한스 페터 몰란트
히트맨: 에이전트 19,2019,미국,장편,액션,할리 웰렌
비트코인 하이스트,2016,베트남,장편,액션,함 트란
봉신방: 달기전,2020,중국,장편,액션,해도
천하영웅 소림명탐,2016,중국,장편,액션,해도
절대 무림 신공,2016,중국,장편,액션,해도
소림사 무림쟁패,2016,중국,장편,액션,해도
강호의 무림신공,2015,중국,장편,액션,해도
황야,2023,한국,장편,액션,허명행
종횡강호: 용유검의 전설,2017,중국,장편,액션,허밍
대범죄도시: 나쁜녀석들,2018,대만,장편,액션,헝츄슈안
프리즌 브레이크 : 이스케이프 플랜,2019,미국,장편,액션,헨리 알렉스 루빈
마담 K,2017,홍콩,장편,액션,호 유항
홍금보의 보디가드,2016,중국,장편,액션,홍금보
다만 악에서 구하소서 파이널컷,2020,한국,장편,액션,홍원찬
맨 온 엣지,2022,홍콩,장편,액션,황명승
소림절세귀동 - 천하곡술,2018,홍콩,장편,액션,황송
독수인심,2018,홍콩,장편,액션,황송
야수대전,2018,홍콩,장편,액션,황송
데시벨,2021,한국,장편,액션,황인호
적인걸: 나찰의 비밀,2020,중국,장편,액션,황하
특수부대 비룡,2021,중국,장편,액션,후걸
특종병기 전랑,2018,중국,장편,액션,후걸
레이디 닌자,2018,일본,장편,액션,후지와라 켄이치
로그,2020,미국,장편,액션,M.J. 버세트
라스트 굿 맨,2022,미국,장편,액션,R. 엘리스 프레이저
럼블,2016,미국,장편,액션,R. 엘리스 프레이저
멕시칸잡,2017,미국,장편,액션,R. 엘리스 프레이저
라자루스,2020,미국,장편,액션,R.L. 스콧
바후발리: 더 컨클루전,2017,인도,장편,액션,S.S. 라자몰리
007 제7편 : 다이아몬드는 영원히,1971,영국,장편,액션,가이 해밀튼
10층의 모기,1983,일본,장편,액션,최양일
20인의 여도적,1971,한국,장편,액션,이지룡
30년만의 대결,1971,한국,장편,액션,임권택
49제,1975,한국,장편,액션,이영우
강력 3반,2005,한국,장편,액션,손희창
검은 모자,1992,한국,장편,액션,이혁수
검은 안경,1971,한국,장편,액션,김종래
겟코가면,2012,일본,장편,액션,카사기 노조무
격동,1975,한국,장편,액션,박호태
고 웨스트,2011,독일,장편,액션,안드레아스 린케
고향을 묻지마라,1972,한국,장편,액션,최인현
권왕의 복수,1972,한국,장편,액션,장진원
나를 더 이상 괴롭히지 마라,1971,한국,장편,액션,임권택
나쁜 녀석들,1994,미국,장편,액션,마이클 베이
나쁜 녀석들 II,2003,미국,장편,액션,마이클 베이
낭화비권,1978,한국,장편,액션,박윤교
내셔널 트레져,2004,미국,장편,액션,존 터틀타웁
노호전계,1978,홍콩,장편,액션,맥가
녹정기,1983,홍콩,장편,액션,화산
뉴 폴리스 스토리,2004,홍콩,장편,액션,진목승
늑대의 제국,2004,프랑스,장편,액션,크리스 나흔
니키타,1990,프랑스,장편,액션,뤽 베송
달마신공,1979,한국,장편,액션,이혁수
달콤한 인생,2004,한국,장편,액션,김지운
대비상망,1974,한국,장편,액션,전우열
대차부,1974,대만,장편,액션,곽남굉
대추격,1973,한국,장편,액션,임권택
대호출격,1988,홍콩,장편,액션,유가량
더 파이터: 파이널 라운드,2012,태국,장편,액션,줄라럭 이스말론 데이빗 이스말론
더블반담,1991,미국,장편,액션,쉘던 레티치
도불류인,1971,홍콩,장편,액션,엽영조
도화선,2007,홍콩,장편,액션,엽위신
돌아온 불범,1977,한국,장편,액션,남기남
동백꽃 신사,1979,한국,장편,액션,이혁수
땡큐마담,1988,홍콩,장편,액션,전승위
라스트 사무라이,2003,미국,장편,액션,에드워드 즈윅
라이즈 오브 더 풋솔져,2007,영국,장편,액션,줄리안 길비
람보,1982,미국,장편,액션,테드 코체프
람보-특별판,1982,미국,장편,액션,테드 코체프
러시안 트랜스포터,2008,러시아,장편,액션,올렉 포고딘
런어웨이,1995,한국,장편,액션,김성수
레드 스카이,2014,미국,장편,액션,마리오 반 피블스
레이디호크2,1998,캐나다,장편,액션,조지 멘델룩
리썰,2005,미국,장편,액션,더스틴 리커트
리플렉션,2007,미국,장편,액션,로버트 딕슨
마비취,1987,홍콩,장편,액션,왕정
마지막 사무라이,2012,일본,장편,액션,가타오카 슈이즈
맹룡노호,1977,한국,장편,액션,심우섭
명동 삼국지,1971,한국,장편,액션,임권택
명동 잔혹사,1972,한국,장편,액션,임권택
명동 졸업생,1971,한국,장편,액션,고영남
목숨걸고 왔수다,1971,한국,장편,액션,전우열
무림 18 여걸,1979,한국,장편,액션,김정용
무림강호: 영웅불패의 신화,2013,홍콩,장편,액션,유신의
무림신공 : 황금봉의 전사,2014,인도네시아,장편,액션,이파 이스판샤
무명객,1977,한국,장편,액션,김시현
무사 야마다,2010,태국,장편,액션,노폰 와틴
무영검,2005,한국,장편,액션,김영준
무인 곽원갑,2006,중국,장편,액션,우인태
무장 해제,1975,한국,장편,액션,이두용
미션 임파서블: 파이널 레코닝,2025,미국,장편,액션,크리스토퍼 맥쿼리
미스터 소크라테스,2005,한국,장편,액션,최진원
미스파이어,2014,미국,장편,액션,R. 엘리스 프레이저
바람의 파이터,2004,한국,장편,액션,양윤호
바이 더 건,2014,미국,장편,액션,제임스 모턴
반 헬싱,2004,미국,장편,액션,스티븐 소머즈
배트맨,1989,미국,장편,액션,팀 버튼
뱅크 잡,2007,미국,장편,액션,브래드 율젠스 존 위커
베이시티,2008,캐나다,장편,액션,로드니 드와이라
벨리 오브 비스트,2003,영국,장편,액션,정소동
벽력선봉,1988,홍콩,장편,액션,황백문
보스,1996,한국,장편,액션,유영진
복수혈전,1992,한국,장편,액션,이경규
본 아이덴티티,2002,미국,장편,액션,더그 라이만
분노의 왼발,1974,한국,장편,액션,이두용
불타는 복수,1971,한국,장편,액션,이상구
불타는 소림사,1978,한국,장편,액션,남기남
브이 포 벤데타,2005,미국,장편,액션,제임스 맥티그
블러드 다이아몬드 파이널,2009,프랑스,장편,액션,피에르 라파그
블러드 머니,2012,호주,장편,액션,그레고리 맥퀄터
블레이드 2,2002,미국,장편,액션,길예르모 델 토로
블레이드 3,2004,미국,장편,액션,데이빗 S. 고이어
블루 칼라 보이즈,2013,미국,장편,액션,마크 니스티코
비룡맹장,1987,홍콩,장편,액션,홍금보
비룡문,1977,한국,장편,액션,김선경
빨간 마스크의 여인,1971,한국,장편,액션,장일호
사나이 가는 길에,1972,한국,장편,액션,박호태
사나이 훈장,1973,한국,장편,액션,최영철
사망탑의 결전 디 오리지널,1980,중국,장편,액션,오사원
사생결단,2006,한국,장편,액션,최호
살수특급,1988,홍콩,장편,액션,담가명
삼부관,1984,홍콩,장편,액션,구예도
상하이의 대형,1979,홍콩,장편,액션,진관태
서검은구록,1981,홍콩,장편,액션,초원
섹시 캣,2007,일본,장편,액션,토모마츠 나오유키
소녀검객 아즈미 대혈전 2,2005,일본,장편,액션,카네코 슈스케
소림목인방,1976,홍콩,장편,액션,진지화
소림문,1976,홍콩,장편,액션,오우삼
소림사 - 죽음의 객잔,2014,중국,장편,액션,해도
소림사 목련도사,1978,한국,장편,액션,이혁수
소림사 무림 탐정-취의전장,2014,중국,장편,액션,해도
소림사 무림탐정 : 황제의 옥패,2014,중국,장편,액션,해도
소림사: 무림적팔방,2014,중국,장편,액션,해도
소림속가제자,1985,중국,장편,액션,화산
소림천하,1978,한국,장편,액션,김종성 황풍
소림쿵푸,1974,대만,장편,액션,곽남굉
수호지-혼세마왕,2014,홍콩,장편,액션,류신의
슈프림 챔피언,2013,미국,장편,액션,리차드 스타일스
스티븐 시걸의 더 키퍼,2009,미국,장편,액션,키오니 왁스먼
스파이: 외인부대 잠입작전,2013,러시아,장편,액션,알렉세이 페옥티스토프
스페셜 포스 vs 분노의 좀비,2014,독일,장편,액션,프랭크 라펠
스페셜포스: 더블 타겟,2014,중국,장편,액션,양강
스피드 4초,2000,홍콩,장편,액션,나지량
시라소니,1992,한국,장편,액션,이일목
신 소림사 - 쿵푸마스터,2010,중국,장편,액션,도우 시아오
신룡쌍포,1988,홍콩,장편,액션,장동조
십자수권,1978,한국,장편,액션,최우영
쌍용통첩장,1978,한국,장편,액션,남기남
아이리스 더 무비,2010,한국,장편,액션,양윤호 김규태
아틸라,2001,미국,장편,액션,딕 로리
악호촌,1974,홍콩,장편,액션,악풍
야수,2005,한국,장편,액션,김성수
언더 씨즈 2,1995,미국,장편,액션,제프 머피
영웅본색 3,1989,홍콩,장편,액션,서극
예스 마담-황가사저,1986,홍콩,장편,액션,원규
오조십팔번,1979,홍콩,장편,액션,곽남굉
옹박 : 하얀 원숭이 전사,2008,태국,장편,액션,삭차이 스리분낙
외팔이 드라곤,1974,홍콩,단편,액션,짐포슈운
용재소림(소림칠금강),1996,홍콩,장편,액션,풍세웅
용호대련,1974,한국,장편,액션,이두용
용호문,2006,홍콩,장편,액션,엽위신
용호의 결투,1970,홍콩,장편,액션,왕우
우아한 세계,2006,한국,장편,액션,한재림
워리어스 무에타이 리얼옹박,2009,태국,장편,액션,마리완 타나폰
원 밀리언 킥,2014,독일,장편,액션,알렉스 패드루 올리버 주어스
위 맨,2013,영국,장편,액션,레이 버디스
위키드 게임,2002,미국,장편,액션,사카모토 코이치 요코야마 마코토
위험한 열차,1977,영국,장편,액션,제임스 골드스톤
의리적 무투,2003,한국,장편,액션,여명준
인간 사표를 써라,1971,한국,장편,액션,박노식
인정사정 볼 것 없다,1999,한국,장편,액션,이명세
일격필살,1977,한국,장편,액션,박호태
일대일,1972,한국,장편,액션,김묵
자토이치,2003,일본,장편,액션,기타노 다케시
잭 리처,2012,미국,장편,액션,크리스토퍼 맥쿼리
전설의 검,2013,이탈리아,장편,액션,스테파노 밀라
절색무기 : 네이키드 솔저,2012,홍콩,장편,액션,맥자선
정무문,1972,홍콩,장편,액션,라유
제로 아워 킬러,2010,베네수엘라,장편,액션,디에고 벨라스코
제방소수,1982,홍콩,장편,액션,홍금보
조폭마누라2-돌아온 전설,2003,한국,장편,액션,정흥순
주선십팔질,1979,홍콩,장편,액션,곽남굉
주윤발의 미스터 갱,1987,홍콩,장편,액션,임영동
죽음의 다섯 손가락,1972,한국,장편,액션,정창화
죽음의 다섯손가락,1978,한국,장편,액션,김정용
죽음의 질주,2008,미국,장편,액션,로이 나이림
중국철인,1973,대만,장편,액션,곽남굉
중원의 백일홍,1979,한국,장편,액션,김시현
쥬라기 시티,2014,미국,장편,액션,숀 케인
지.아이.조 : 전쟁의 서막,2009,미국,장편,액션,스티븐 소머즈
지옥의 사자들,1979,미국,장편,액션,마크 로브슨 몬테 헬만
짝패,2006,한국,장편,액션,류승완
차이니즈 조디악 특별판,2012,중국,장편,액션,성룡
천군,2005,한국,장편,액션,민준기
천장지구,1990,홍콩,장편,액션,진목승
철낭자,1971,한국,장편,액션,고보수
철면객,1978,한국,장편,액션,김선경
철삼각,1972,대만,장편,액션,곽남굉
철왜,1973,홍콩,장편,액션,나유
청풍명월(淸風明月),2003,한국,장편,액션,김의석
초콜렛,2008,태국,장편,액션,프라챠 핀카엡
칠검,2005,홍콩,장편,액션,서극
칠소여복성,1988,한국,장편,액션,강범구
콜래트럴,2004,미국,장편,액션,마이클 만
쿵푸닌자,2007,중국,장편,액션,공상덕
쿵푸마스터,2010,미국,장편,액션,펭 장 리
크로우즈 익스플로드,2014,일본,장편,액션,토요다 토시아키
클레멘타인,2004,한국,장편,액션,김두영
클리프 행어 - 죽음의 질주,1999,독일,장편,액션,커트 M. 퍼든
킬 빌2,2004,미국,장편,액션,쿠엔틴 타란티노
킬리만자로,2000,한국,장편,액션,오승욱
킬빌,2003,미국,장편,액션,쿠엔틴 타란티노
킹: 잃어버린 세계,2005,미국,장편,액션,리 스콧
킹덤 오브 헤븐,2005,미국,장편,액션,리들리 스콧
킹덤 오브 헤븐: 디렉터스 컷,2005,영국,장편,액션,리들리 스콧
타이치 : 태극 완결판,2014,중국,장편,액션,풍덕륜
탈명가두,1991,홍콩,장편,액션,가성시
테러리스트,1995,한국,장편,액션,김영빈
통천노호,1980,한국,장편,액션,임원식 고보수
파계,1977,홍콩,장편,액션,정창화
파라문,1975,한국,장편,액션,박우상
팔대장문,1978,한국,장편,액션,김시현
패가자,1983,홍콩,장편,액션,홍금보
페세이지,1979,미국,장편,액션,J. 리 톰슨
포스 오브 원,1979,미국,장편,액션,폴 아론
폭력경찰:나쁜 녀석들,2012,일본,장편,액션,시부야 쇼이치
폭주기관차,1985,미국,장편,액션,안드레이 콘찰로프스키
필사의검 토리사시,2010,일본,장편,액션,히라야마 히데유키
하류인생,2004,한국,장편,액션,임권택
해바라기,2006,한국,장편,액션,강석범
헌팅 더 팬텀,2014,카자흐스탄,장편,액션,마리나 쿠나로바
혈권,1973,한국,장편,액션,김묵
협객 김두한,1975,한국,장편,액션,김효천
호협,1978,홍콩,장편,액션,오우삼
홍금보의 박명단도탈명창,1979,홍콩,장편,액션,유가영
홍콩포리스 마담,1988,홍콩,장편,액션,호산
화소소림사,1976,대만,장편,액션,곽남굉
활: 명궁 류백원,2014,중국,장편,액션,서호봉
황가반,1986,홍콩,장편,액션,이수현
황비,1974,한국,장편,액션,정창화
황비홍4-왕자지풍,1993,홍콩,장편,액션,서극
흑권,1973,한국,장편,액션,황풍
흑룡강,1976,한국,장편,액션,김선경
흑룡표,1978,한국,장편,액션,이상구
흑무사,1974,한국,장편,액션,정창화
흑수선,2001,한국,장편,액션,배창호
히 후 데어 2: 런던 테러리스트,2014,영국,장편,액션,폴 탠터
LA 대지진,2014,미국,장편,액션,데이비드 지달리
아름다운 여행,2019,프랑스,장편,어드벤처,니콜라 바니에
돈키호테 맨 오브 라만차,2015,미국,장편,어드벤처,다비드 비이어
카오스 워킹,2021,미국,장편,어드벤처,더그 라이만
비트윈 랜드 앤 씨,2016,아일랜드,장편,어드벤처,로스 휘태커
트레킹: 저주의 숲,2018,독일,장편,어드벤처,릭 오스터만
곰돌이 푸 다시 만나 행복해,2018,미국,장편,어드벤처,마크 포스터
생존자들,2016,미국,장편,어드벤처,브라이언 폴크
토토리! 우리 둘만의 여름,2020,노르웨이,장편,어드벤처,실리에 살로몬센 아릴드 오스틴 아문센
클레오: 시간을 되돌리는 기적,2019,독일,장편,어드벤처,에릭 슈미트
후드,2018,미국,장편,어드벤처,오토 바서스트
동에 번쩍 서에 번쩍,2022,한국,장편,어드벤처,이광국
주사위놀이  마불 세계여행,2023,한국,장편,어드벤처,이광범
울프 앤 라이언: 위대한 우정,2021,프랑스,장편,어드벤처,쥘 드 메스트르
램페이지: 잃어버린 세계,2022,중국,장편,어드벤처,진지홍
다빈치 트레져,2006,미국,장편,어드벤처,피터 머비스
앨리스,1987,잉글랜드,장편,어드벤처,얀 슈반크마이에르
자전거 드림,2009,미국,장편,어드벤처,스티븐 오어배치
탈명금검,1971,홍콩,장편,어드벤처,황풍
해적: 바다로 간 산적,2014,한국,장편,어드벤처,이석훈
장사리 : 잊혀진 영웅들,2019,한국,장편,전쟁,곽경택 김태훈
작전명 덩케르크,2017,미국,장편,전쟁,닉 라이온
1945 그레이트 워,2021,프랑스,장편,전쟁,데이빗 아부카야
1944 대전투,2019,프랑스,장편,전쟁,데이빗 아부카야
바이킹 워,2019,영국,장편,전쟁,루이자 워렌
좀비아포칼립스:파이널,2015,캐나다,장편,전쟁,루카 보니
1945: 포인트 오브 노 리턴,2019,영국,장편,전쟁,릭 로버츠
대전투 1944,2020,독일,장편,전쟁,마크 슈미트
카이로선언,2015,중국,장편,전쟁,유성
라스트 제너럴,2021,미국,장편,전쟁,크리스토퍼 포브스
12번째 솔저,2017,노르웨이,장편,전쟁,해럴드 즈워트
04:00 -1950-,1972,한국,장편,전쟁,이만희
1920 바르샤바 전투,2011,폴란드,장편,전쟁,예르지 호프만
1950년 4시,1972,한국,장편,전쟁,이만희
겨울전쟁: 105일간의 전투,1989,핀란드,장편,전쟁,페카 파리카
결투자들,1977,영국,장편,전쟁,리들리 스콧
고보이 강의 다리,1970,한국,장편,전쟁,이만희
남과 북의 당신,1972,한국,장편,전쟁,박호태
네레트바 전투,1970,유고슬라비아,장편,전쟁,벨지코 부라지코
대전장,1971,한국,장편,전쟁,박호태
마지막 한 걸음까지,2001,독일,장편,전쟁,하디 마틴스
방라잔 2 : 결전의 날,2010,태국,장편,전쟁,타니트 지트나쿤
빨간마후라의 사나이,1971,한국,장편,전쟁,임원직
서부 전선 이상 없다,1979,미국,장편,전쟁,델버트 만
실미도,2003,한국,장편,전쟁,강우석
알포인트,2004,한국,장편,전쟁,공수창
앙케의 영웅들,1973,한국,장편,전쟁,김묵
에브리맨스 워,2008,미국,장편,전쟁,테드 스미스
울지 않으리,1974,한국,장편,전쟁,임권택
콜드 마운틴,2003,미국,장편,전쟁,안소니 밍겔라
특명 8호,1978,한국,장편,전쟁,최영철
평양 폭격대,1971,한국,장편,전쟁,신상옥
갈리폴리: 최악의 상륙작전,2012,터키,장편,전쟁,예심 세즈긴
다운폴,2013,독일,장편,전쟁,올리버 히르비겔
디어헌터(감독판),1978,미국,장편,전쟁,마이클 치미노
웰컴 투 동막골,2005,한국,장편,전쟁,박광현
지옥의 묵시록,1979,미국,장편,전쟁,프란시스 포드 코폴라
지옥의 묵시록 리덕스,1979,미국,장편,전쟁,프란시스 포드 코폴라
지옥의 묵시록 파이널 컷,1979,미국,장편,전쟁,프란시스 포드 코폴라
태극기 휘날리며,2004,한국,장편,전쟁,강제규
탱크: 독일전차군단을 격파하라,2009,러시아,장편,전쟁,알렉세이 페옥티스토프
통행증,2002,프랑스,장편,전쟁,베르트랑 타베르니에
한걸음,2010,한국,장편,전쟁,권순도
화이트 솔져: 베트남 묵시록,2014,프랑스,장편,전쟁,에릭 종카
1940: 나치 공습 작전,2013,독일,장편,전쟁,크리스토퍼-리 도스 산토스
대명겁: 천하대전,2013,중국,장편,전쟁,왕 징
더블유엠디: 대량살상무기,2013,미국,장편,전쟁,리차드 핼펀
드론: 미래전쟁,2013,미국,장편,전쟁,릭 로젠탈
스파이: 작전명 태풍,2013,러시아,장편,전쟁,페트르 아멜린
위 워 솔저스,2002,미국,장편,전쟁,랜달 웰러스
지상최대전투:갈리폴리,2013,터키,장편,전쟁,케말 우준
허트 로커,2008,미국,장편,전쟁,캐서린 비글로우
미쓰 와이프,2015,한국,장편,코미디,강효진
튼튼이의 모험,2017,한국,장편,코미디,고봉수
다함께 여름!,2020,프랑스,장편,코미디,기욤 브락
부기나이트,2022,한국,장편,코미디,김경엽
핸썸,2021,한국,장편,코미디,김동욱
머피와 샐리의 법칙,2019,한국,장편,코미디,김문옥
